date,UKR,counterfactual,gap
2008-11-01,6.86260557556686,2.354545454545455,4.508060121021405
2008-12-01,8.13604278202844,1.7909090909090908,6.345133691119349
2009-01-01,8.242685822247342,1.3454545454545455,6.897231276792796
2009-02-01,8.136042782028397,1.290909090909091,6.845133691119306
2009-03-01,7.387326363161795,0.6181818181818182,6.7691445449799765
2009-04-01,6.643793935325859,0.6090909090909091,6.03470302623495
2009-05-01,6.643793935325837,0.009090909090909078,6.634703026234928
2009-06-01,7.390300492873125,-0.22727272727272735,7.617573220145853
2009-07-01,8.033998597725578,-0.6545454545454544,8.688544052271032
2009-08-01,8.142140738463999,-0.24545454545454543,8.387595283918545
2009-09-01,9.902338349669936,-0.4818181818181818,10.384156531488118
2009-10-01,10.66706635011496,-0.33636363636363636,11.003429986478595
2009-11-01,11.65028806497286,0.29090909090909084,11.35937897406377
2009-12-01,11.32158260452638,0.6909090909090909,10.630673513617289
2010-01-01,12.308670529098542,0.7090909090909091,11.599579620007633
2010-02-01,12.640944702261605,0.6636363636363636,11.97730833862524
2010-03-01,13.314097758251188,1.3636363636363635,11.950461394614825
2010-04-01,14.668449524286054,1.481818181818182,13.186631342467871
2010-05-01,14.668449524286077,1.6,13.068449524286077
2010-06-01,14.554578174212264,1.4909090909090907,13.063669083303173
2010-07-01,14.440819903930048,1.781818181818182,12.659001722111867
2010-08-01,14.784142363641829,1.7090909090909092,13.07505145455092
2010-09-01,14.899041405046852,1.9454545454545453,12.953586859592306
2010-10-01,13.87822070154694,2.118181818181818,11.760038883365123
2010-11-01,12.429671905930364,2.0090909090909093,10.420580996839455
2010-12-01,11.987035402363787,2.4,9.587035402363787
2011-01-01,10.346600313461952,2.618181818181818,7.728418495280134
2011-02-01,9.804089987437049,2.7636363636363632,7.040453623800685
2011-03-01,10.673825353674204,2.909090909090909,7.764734444583294
2011-04-01,8.604137674816116,2.9818181818181815,5.622319492997934
2011-05-01,7.417796548278877,2.854545454545455,4.563251093733422
2011-06-01,7.311019414533093,2.8090909090909095,4.501928505442184
2011-07-01,6.777664447263976,2.781818181818182,3.9958462654457936
2011-08-01,7.416414184735176,2.627272727272727,4.789141457462449
2011-09-01,7.416414184735176,3.027272727272727,4.389141457462449
2011-10-01,9.128229550228962,3.0454545454545454,6.082775004774417
2011-11-01,10.966861762670854,3.0454545454545454,7.921407217216309
2011-12-01,11.624768057706468,2.709090909090909,8.91567714861556
2012-01-01,11.624768057706468,2.645454545454545,8.979313512251924
2012-02-01,10.852659978255886,2.645454545454545,8.207205432801342
2012-03-01,9.545948858669416,2.6,6.945948858669416
2012-04-01,10.095326736596522,2.4999999999999996,7.5953267365965225
2012-05-01,10.537476643169196,2.3363636363636364,8.20111300680556
2012-06-01,10.647464182117638,2.272727272727273,8.374736909390364
